,,,Category 5.0 & Segmentation,,,Category 5.0 & Segmentation,,Category 5.0 & Segmentation,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,2. Standard Electric Specs,,,2. Standard Electric Specs,,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,
10047355,Velaire Lift-Ceiling Hood 40 Bk,Klarstein,Velaire,,,,,,,,,,,,,,601,,,399,,,E,,,A,,,A,,,,,,,,,,54,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,DC,,110,,No,,No,,No,,,,,,,,Yes,,,,,Black,,,,No,,,,,,,,,,,,A++,,,15.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.6,,Class I,,115,,62,,,40,,41,,41,,20,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10047356,Velaire Lift-Ceiling Hood 40 Wh,Klarstein,Velaire,,,,,,,,,,,,,,601,,,399,,,E,,,A,,,A,,,,,,,,,,54,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,DC,,110,,No,,No,,No,,,,,,,,Yes,,,,,White,,,,No,,,,,,,,,,,,A++,,,15.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.6,,Class I,,115,,62,,,40,,41,,41,,20.5,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10047646,Kronleuchter L Island Hood black-UK,,Kronleuchter,,,,,,,,,,,,,,577,,,402,,,B,,,A,,,A,,,,,,,58,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,Black,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type G (BS 1363) 'commonwealth plug',,150,,,,165,,58,,,35,,60,,35,,16.9,,,,,,,,,,,
10047647,Kronleuchter XL Island Hood black-UK,,Kronleuchter,,,,,,,,,,,,,,577,,,402,,,B,,,A,,,A,,,,,,,58,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,Black,,,,No,,,,,,,,,,,,A,,,36.2,,,,,Type G (BS 1363) 'commonwealth plug',,150,,,,,,58,,,35,,90,,35,,25,,,,,,,,,,,
10047648,Kronleuchter L Island Hood white-UK,,Kronleuchter,,,,,,,,,,,,,,577,,,402,,,B,,,A,,,A,,,,,,,58,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,White,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type G (BS 1363) 'commonwealth plug',,150,,,,165,,58,,,35,,60,,35,,16.9,,,,,,,,,,,
10047649,Kronleuchter XL Kitchen Island Extrac-UK,,Kronleuchter,,,,,,,,,,,,,,577,,,402,,,B,,,A,,,A,,,,,,,58,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,White,,,,No,,,,,,,,,,,,A,,,36.2,,,,,Type G (BS 1363) 'commonwealth plug',,150,,,,,,58,,,35,,90,,35,,25,,,,,,,,,,,
10047650,Klarstein Kronleuchter Black-UK,,Kronleuchter,,,,,,,,,,,,,,617,,,291,,,D,,,A,,,A,,,,,,,69,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,Black,,,,No,,,,,,,,,,,,A,,,40.3,,,220-240 V ~ 50/60 Hz,,Type G (BS 1363) 'commonwealth plug',,150,,,,250,,69,,,44.5,,40,,40,,12.5,,,,,,,,,,,
10047659,Remy Ceiling Hood Substructure Hood-UK,,Remy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,Black,,,,No,,,,,,,,,,,,A,,,42.1,,,220-240 V ~ 50/60 Hz,,,,,,,,230,,68,,,32,,,,47,,20,,,,,,,,,,,
10047660,Remy Ceiling Hood 90 620 m³/ h 230W-UK,,Remy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,White,,,,No,,,,,,,,,,,,A,,,42.1,,,220-240 V ~ 50/60 Hz,,,,,,,,230,,68,,,32,,,,47,,20,,,,,,,,,,,
10047661,Tron Ambience Island Extractor Hood-UK,,Tron Ambience,,,,,,,,,,,,,,521,,,365,,,E,,,B,,,E,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240V~ / 50Hz,,Type G (BS 1363) 'commonwealth plug',,,,,,,,66,,,45,,,,,,15,,,,,,,,,,,
10047662,Tron Ambience Island Cooker Extractor-UK,,Tron Ambience,,,,,,,,,,,,,,521,,,365,,,E,,,B,,,E,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240V~ / 50Hz,,Type G (BS 1363) 'commonwealth plug',,,,,,,,66,,,45,,,,,,15,,,,,,,,,,,
10047663,Tron Ambience Island Extractor Hood Ø-UK,,Tron Ambience,,,,,,,,,,,,,,521,,,365,,,E,,,B,,,E,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240V~ / 50Hz,,Type G (BS 1363) 'commonwealth plug',,,,,,,,66,,,45,,,,,,15,,,,,,,,,,,
10047693,Barett Island Cooker black-UK,,Barett,,,,,,,,,,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Black,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,35,,35,,35,,16.9,,,,,,,,,,,
10047694,Barett Island Cooker white-UK,,Barett,,,,,,,,,,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,White,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,35,,35,,35,,16.9,,,,,,,,,,,
10047695,Klarstein Barett Inselabzugshaube cop-UK,,Barett,,,,,,,,,,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Copper Metallic,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,35,,35,,35,,16.9,,,,,,,,,,,
10047696,Barett Island Cooker steel-UK,,Barett,,,,,,,,,,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Stainless Steel,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,35,,35,,35,,16.9,,,,,,,,,,,
10047697,Beretta Island Cooker Hood steel-UK,,Beretta,,,,,,,,,,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Stainless Steel,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,60,,35,,35,,9.4,,,,,,,,,,,
10047698,Beretta Island Cooker Hood black-UK,,Beretta,,,,,,,,,,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Black,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,60,,35,,35,,9.4,,,,,,,,,,,
10047699,Klarstein Beretta Inselabzugshaube Ku-UK,,Beretta,,,,,,,,,,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,Copper Metallic,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,60,,35,,35,,9.4,,,,,,,,,,,
10047700,Beretta Island Cooker Hood white-UK,,Beretta,,,,,,,,,,,,,,519,,,189,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,White,,,,No,,,,,,,,,,,,A+,,,16.3,,,220-240V~ / 50Hz,,No plug,,1.8,,,,190,,65,,,60,,35,,35,,9.4,,,,,,,,,,,
10048657,Valeria A+ Class 60cm Blk,Klarstein,Valeria,,,MDA25075,,,,UT0460G,,60,,632,,,500,,,306,,,F,,,A,,,A,,,3,,1,,64,,,50,,,,,,,Yes,,,,150,,LED,,,,10,,No,,,,Touch,,DC,,110,,No,,No,,No,,Stainless Steel,,990,,500,,Yes,,,,,Silver,,Black,,No,,,,,,,,,,,,A+,,,20.7,,,220-240 V ~ 50/60 Hz,,Type C <2.5A - 2 pin (Europlug),,1.2,,Class I,,116,,62,,,99,,59.9,,59.6,,21,,ISTA 1A,,1,,"hood,chimney,carton filters, screws bag, ceiling spare parts and instruction manual.",,,,,
10048663,Nexture A++ Class Blk,Klarstein,Nexture,,,MDA25078,,,,UI0841G,,41,,661,,,541,,,335,,,F,,,A,,,A,,,3,,1,,67,,,52,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Touch,,DC,,110,,No,,No,,No,,,,,,,,Yes,,,,,Black,,,,No,,,,,,,,,,,,A++,,,27.8,,,220-240 V ~ 50/60 Hz,,No plug,,1.6,,Class I,,116,,64,,,200,,41,,41,,15.61,,ISTA 3A,,1,,"hood,cable,carton filters, screws bag, ceiling spare parts and instruction manual.",,,,,
10048766,Skyfall 45cm A+++ Class Blk,Klarstein,Skyfall,,,,,,,7023B,,40,,625,,,399,,,216,,,E,,,A,,,A,,,3,,1,,59,,,40,,,,,,,Yes,,,,150,,LED,,,,4.5,,No,,,,Touch,,DC,,90,,No,,No,,No,,,,1306,,,,No,,,,,Black,,,,No,,,,,,,,,,,,A+++,,,7.7,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.8,,Class II,,,,53,,,43.6,,38,,41.3,,11.85,,ISTA 1A,,,,,,,,,
10048767,Skyfall 45cm A+++ Class Gld,Klarstein,Skyfall,,,,,,,7023B (Gold),,40,,625,,,399,,,216,,,E,,,A,,,A,,,3,,1,,59,,,40,,,,,,,Yes,,,,,,LED,,,,4.5,,No,,,,Touch,,DC,,90,,No,,No,,No,,,,1306,,,,No,,,,,Gold,,,,No,,,,,,,,,,,,A+++,,,7.7,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.8,,Class II,,,,53,,,43.6,,38,,41.3,,11.85,,ISTA 1A,,,,,,,,,
10048768,Skyfall 45cm A+++ Class Slv,Klarstein,Skyfall,,,,,,,7023B (Silver),,40,,625,,,399,,,216,,,E,,,A,,,A,,,3,,1,,59,,,40,,,,,,,Yes,,,,,,LED,,,,4.5,,No,,,,Touch,,DC,,90,,No,,No,,No,,,,1306,,,,No,,,,,Silver,,,,No,,,,,,,,,,,,A+++,,,7.7,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.8,,Class II,,,,53,,,43.6,,38,,41.3,,11.85,,ISTA 1A,,,,,,,,,
10049288,Tron Ambience A++ Blk,Klarstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049289,Tron Ambience A++ SS,Klarstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049290,Tron Ambience A++ Wht,Klarstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
